Resultados del Análisis Léxico

Tokens Clasificados:
(finprograma, atributo 263, Palabra Reservada, línea 47)
(;, atributo 59, Caracter Simple, línea 5)
(res, atributo 261, Identificador, línea 5)
(hexadecimal, atributo 260, Palabra Reservada, línea 5)
(;, atributo 59, Caracter Simple, línea 4)
(230, atributo 0, Error Lexico, línea 4)
(=, atributo 61, Caracter Simple, línea 4)
(numero, atributo 261, Identificador, línea 4)
(octal, atributo 259, Palabra Reservada, línea 4)
(;, atributo 59, Caracter Simple, línea 3)
(num, atributo 261, Identificador, línea 3)
(,, atributo 44, Caracter Simple, línea 3)
(multiple, atributo 261, Identificador, línea 3)
(binario, atributo 258, Palabra Reservada, línea 3)
(ejemplo, atributo 261, Identificador, línea 1)
(programa, atributo 257, Palabra Reservada, línea 1)

Tabla de Símbolos:
adicionales
base
contador
data
direccion
ejemplo
entrada
errores
esperados
invalidos
lexico
multiple
num
numero
res
test
validos

Tabla de Palabras Reservadas:
binario
escribir
finprograma
hexadecimal
leer
octal
programa

Tabla de Tokens Válidos:
finprograma     | Atributo: 263  | Palabra Reservada    | Línea 47
;               | Atributo: 59   | Caracter Simple      | Línea 45
=               | Atributo: 61   | Caracter Simple      | Línea 45
entrada         | Atributo: 261  | Identificador        | Línea 45
;               | Atributo: 59   | Caracter Simple      | Línea 44
=               | Atributo: 61   | Caracter Simple      | Línea 44
;               | Atributo: 59   | Caracter Simple      | Línea 43
=               | Atributo: 61   | Caracter Simple      | Línea 43
;               | Atributo: 59   | Caracter Simple      | Línea 42
1101B           | Atributo: 520  | Numero Binario       | Línea 42
=               | Atributo: 61   | Caracter Simple      | Línea 42
;               | Atributo: 59   | Caracter Simple      | Línea 41
10B             | Atributo: 520  | Numero Binario       | Línea 41
=               | Atributo: 61   | Caracter Simple      | Línea 41
-               | Atributo: 45   | Caracter Simple      | Línea 41
base            | Atributo: 261  | Identificador        | Línea 41
;               | Atributo: 59   | Caracter Simple      | Línea 40
=               | Atributo: 61   | Caracter Simple      | Línea 40
;               | Atributo: 59   | Caracter Simple      | Línea 39
=               | Atributo: 61   | Caracter Simple      | Línea 39
)               | Atributo: 41   | Caracter Simple      | Línea 38
esperados       | Atributo: 261  | Identificador        | Línea 38
lexico          | Atributo: 261  | Identificador        | Línea 38
errores         | Atributo: 261  | Identificador        | Línea 38
(               | Atributo: 40   | Caracter Simple      | Línea 38
invalidos       | Atributo: 261  | Identificador        | Línea 38
1B              | Atributo: 520  | Numero Binario       | Línea 35
100O            | Atributo: 732  | Numero Octal         | Línea 35
;               | Atributo: 59   | Caracter Simple      | Línea 34
123O            | Atributo: 732  | Numero Octal         | Línea 34
=               | Atributo: 61   | Caracter Simple      | Línea 34
contador        | Atributo: 261  | Identificador        | Línea 34
;               | Atributo: 59   | Caracter Simple      | Línea 33
F0F0X           | Atributo: 891  | Numero Hexadecimal   | Línea 33
=               | Atributo: 61   | Caracter Simple      | Línea 33
direccion       | Atributo: 261  | Identificador        | Línea 33
;               | Atributo: 59   | Caracter Simple      | Línea 32
0B              | Atributo: 520  | Numero Binario       | Línea 32
+               | Atributo: 43   | Caracter Simple      | Línea 32
1B              | Atributo: 520  | Numero Binario       | Línea 32
=               | Atributo: 61   | Caracter Simple      | Línea 32
data            | Atributo: 261  | Identificador        | Línea 32
;               | Atributo: 59   | Caracter Simple      | Línea 31
)               | Atributo: 41   | Caracter Simple      | Línea 31
data            | Atributo: 261  | Identificador        | Línea 31
(               | Atributo: 40   | Caracter Simple      | Línea 31
leer            | Atributo: 265  | Palabra Reservada    | Línea 31
adicionales     | Atributo: 261  | Identificador        | Línea 30
validos         | Atributo: 261  | Identificador        | Línea 30
test            | Atributo: 261  | Identificador        | Línea 28
programa        | Atributo: 257  | Palabra Reservada    | Línea 28
;               | Atributo: 59   | Caracter Simple      | Línea 26
)               | Atributo: 41   | Caracter Simple      | Línea 26
(               | Atributo: 40   | Caracter Simple      | Línea 26
escribir        | Atributo: 262  | Palabra Reservada    | Línea 26
;               | Atributo: 59   | Caracter Simple      | Línea 24
CDEFX           | Atributo: 891  | Numero Hexadecimal   | Línea 24
-               | Atributo: 45   | Caracter Simple      | Línea 24
A1B2X           | Atributo: 891  | Numero Hexadecimal   | Línea 24
=               | Atributo: 61   | Caracter Simple      | Línea 24
;               | Atributo: 59   | Caracter Simple      | Línea 23
3O              | Atributo: 732  | Numero Octal         | Línea 23
+               | Atributo: 43   | Caracter Simple      | Línea 23
007O            | Atributo: 732  | Numero Octal         | Línea 23
*               | Atributo: 42   | Caracter Simple      | Línea 23
=               | Atributo: 61   | Caracter Simple      | Línea 23
;               | Atributo: 59   | Caracter Simple      | Línea 22
111B            | Atributo: 520  | Numero Binario       | Línea 22
+               | Atributo: 43   | Caracter Simple      | Línea 22
10101B          | Atributo: 520  | Numero Binario       | Línea 22
=               | Atributo: 61   | Caracter Simple      | Línea 22
;               | Atributo: 59   | Caracter Simple      | Línea 20
)               | Atributo: 41   | Caracter Simple      | Línea 20
(               | Atributo: 40   | Caracter Simple      | Línea 20
leer            | Atributo: 265  | Palabra Reservada    | Línea 20
;               | Atributo: 59   | Caracter Simple      | Línea 19
)               | Atributo: 41   | Caracter Simple      | Línea 19
(               | Atributo: 40   | Caracter Simple      | Línea 19
leer            | Atributo: 265  | Palabra Reservada    | Línea 19
;               | Atributo: 59   | Caracter Simple      | Línea 17
hexadecimal     | Atributo: 260  | Palabra Reservada    | Línea 17
;               | Atributo: 59   | Caracter Simple      | Línea 16
=               | Atributo: 61   | Caracter Simple      | Línea 16
octal           | Atributo: 259  | Palabra Reservada    | Línea 16
;               | Atributo: 59   | Caracter Simple      | Línea 15
,               | Atributo: 44   | Caracter Simple      | Línea 15
binario         | Atributo: 258  | Palabra Reservada    | Línea 15
;               | Atributo: 59   | Caracter Simple      | Línea 13
)               | Atributo: 41   | Caracter Simple      | Línea 13
res             | Atributo: 261  | Identificador        | Línea 13
(               | Atributo: 40   | Caracter Simple      | Línea 13
escribir        | Atributo: 262  | Palabra Reservada    | Línea 13
;               | Atributo: 59   | Caracter Simple      | Línea 11
112EX           | Atributo: 891  | Numero Hexadecimal   | Línea 11
B               | Atributo: 520  | Numero Binario       | Línea 11
-               | Atributo: 45   | Caracter Simple      | Línea 11
ADFX            | Atributo: 891  | Numero Hexadecimal   | Línea 11
=               | Atributo: 61   | Caracter Simple      | Línea 11
res             | Atributo: 261  | Identificador        | Línea 11
;               | Atributo: 59   | Caracter Simple      | Línea 10
101O            | Atributo: 732  | Numero Octal         | Línea 10
*               | Atributo: 42   | Caracter Simple      | Línea 10
+               | Atributo: 43   | Caracter Simple      | Línea 10
numero          | Atributo: 261  | Identificador        | Línea 10
=               | Atributo: 61   | Caracter Simple      | Línea 10
numero          | Atributo: 261  | Identificador        | Línea 10
;               | Atributo: 59   | Caracter Simple      | Línea 9
1001B           | Atributo: 520  | Numero Binario       | Línea 9
+               | Atributo: 43   | Caracter Simple      | Línea 9
10010B          | Atributo: 520  | Numero Binario       | Línea 9
=               | Atributo: 61   | Caracter Simple      | Línea 9
multiple        | Atributo: 261  | Identificador        | Línea 9
;               | Atributo: 59   | Caracter Simple      | Línea 7
)               | Atributo: 41   | Caracter Simple      | Línea 7
num             | Atributo: 261  | Identificador        | Línea 7
(               | Atributo: 40   | Caracter Simple      | Línea 7
leer            | Atributo: 265  | Palabra Reservada    | Línea 7
;               | Atributo: 59   | Caracter Simple      | Línea 5
res             | Atributo: 261  | Identificador        | Línea 5
hexadecimal     | Atributo: 260  | Palabra Reservada    | Línea 5
;               | Atributo: 59   | Caracter Simple      | Línea 4
=               | Atributo: 61   | Caracter Simple      | Línea 4
numero          | Atributo: 261  | Identificador        | Línea 4
octal           | Atributo: 259  | Palabra Reservada    | Línea 4
;               | Atributo: 59   | Caracter Simple      | Línea 3
num             | Atributo: 261  | Identificador        | Línea 3
,               | Atributo: 44   | Caracter Simple      | Línea 3
multiple        | Atributo: 261  | Identificador        | Línea 3
binario         | Atributo: 258  | Palabra Reservada    | Línea 3
ejemplo         | Atributo: 261  | Identificador        | Línea 1
programa        | Atributo: 257  | Palabra Reservada    | Línea 1

Tabla de Errores Léxicos:
34L   Línea 45
.99X   Línea 44
otraLinea   Línea 44
@   Línea 43
random_symbol   Línea 43
12cu   Línea 42
2   Línea 41
11H   Línea 40
alpha1   Línea 40
123   Línea 39
Numero   Línea 39
Casos   Línea 38
#   Línea 38
12cu   Línea 36
Casos   Línea 30
#   Línea 30
hex1   Línea 26
hex1   Línea 24
oct1   Línea 23
oct1   Línea 23
bin1   Línea 22
oct1   Línea 20
bin1   Línea 19
hex1   Línea 17
170   Línea 16
oct1   Línea 16
bin2   Línea 15
bin1   Línea 15
1230   Línea 10
230   Línea 4
